feature,coefficient,absolute_coefficient
gust_kph,12.371177863516657,12.371177863516657
feels_like_celsius,-1.2082992041327834,1.2082992041327834
hour_cos,-1.1697657431154482,1.1697657431154482
humidity,-0.5818270750896307,0.5818270750896307
temperature_celsius_lag_2d,0.4399432637920472,0.4399432637920472
air_quality_us-epa-index,0.3885211612253175,0.3885211612253175
air_quality_gb-defra-index,-0.372908936091678,0.372908936091678
precip_mm,-0.36471030595529014,0.36471030595529014
country_daily_mean_temp,0.31321017980626575,0.31321017980626575
temperature_celsius_roll_mean_3d,0.2344224077183975,0.2344224077183975
air_quality_PM2.5,-0.2219248906297952,0.2219248906297952
air_quality_Carbon_Monoxide,0.22101023605242243,0.22101023605242243
longitude,0.20979641390866255,0.20979641390866255
temperature_celsius_lag_1d,0.20422626318365547,0.20422626318365547
hour_sin,0.17115447854455382,0.17115447854455382
wind_kph_lag_1d,-0.1658093127874322,0.1658093127874322
wind_kph_lag_2d,-0.15848363631422238,0.15848363631422238
latitude,-0.1522004655405136,0.1522004655405136
visibility_km,-0.1494379001538757,0.1494379001538757
pressure_mb,0.13945853721205995,0.13945853721205995
air_quality_Nitrogen_dioxide,0.13691190633036066,0.13691190633036066
temperature_celsius_roll_std_3d,-0.1350259379227462,0.1350259379227462
uv_index_lag_2d,-0.12121367374401486,0.12121367374401486
air_quality_Ozone,-0.11493477940637284,0.11493477940637284
air_quality_PM10,-0.11154097665029945,0.11154097665029945
uv_index_lag_1d,-0.09663368576352575,0.09663368576352575
cloud_cover_lag_1d,0.08404531932073282,0.08404531932073282
cloud_cover_lag_2d,0.0685713715158916,0.0685713715158916
day_cos,0.060476661397130725,0.060476661397130725
wind_degree,-0.057687022950624146,0.057687022950624146
temperature_celsius,0.04789525158847462,0.04789525158847462
air_quality_Sulphur_dioxide,0.04127659168380437,0.04127659168380437
moon_illumination,0.03202485483314648,0.03202485483314648
day_sin,-0.005805446651425367,0.005805446651425367
