feature,importance
uv_index_lag_1d,0.2566111032321233
uv_index_lag_2d,0.18026251664297716
humidity,0.10271216784851397
precip_mm,0.06492349094517105
hour_cos,0.05012075811808485
country_daily_mean_temp,0.04176850658257987
temperature_celsius,0.039311458648875426
longitude,0.03515205457197626
cloud_cover_lag_1d,0.03354836651279765
temperature_celsius_roll_mean_3d,0.029199379330458495
feels_like_celsius,0.021562368024924044
air_quality_Ozone,0.01611340168497685
cloud_cover_lag_2d,0.015053393651915757
temperature_celsius_lag_2d,0.013744711179602789
hour_sin,0.013340344173931288
temperature_celsius_lag_1d,0.013065873417024426
latitude,0.01293191132987699
day_cos,0.007631068378130882
air_quality_Carbon_Monoxide,0.006030592095586123
air_quality_PM10,0.005256499753942173
day_sin,0.00502352393255833
air_quality_Nitrogen_dioxide,0.0049756295633602
pressure_mb,0.004538720758388325
air_quality_PM2.5,0.003631969414789602
temperature_celsius_roll_std_3d,0.00361888918042268
air_quality_Sulphur_dioxide,0.0034245588953878987
wind_degree,0.0032769885824692944
gust_kph,0.0025935816566388125
visibility_km,0.0025136064024181897
wind_kph_lag_2d,0.002078316924818988
wind_kph_lag_1d,0.002047724716095022
moon_illumination,0.001747791903844809
air_quality_gb-defra-index,0.0013257699019050626
air_quality_us-epa-index,0.0008629620434335701
